"URL"	"Keywords"	"Keyword Count"	"DateTime"	"Favorite Count"	"Retweet"	"Lang"	"LinkCount"	"Link1"	"Link2"	"Link3"	"Author"	"Text"	"Followers"	"Friends"	"Location"	"Timezone"	"UTC Offset"
"http://twitter.com/119562442/status/720038785073954816"	""	"0"	"Tue Apr 12 23:59:58 +0000 2016"	"0"	"0"	"en"	"1"	"https://t.co/b6OvsGldxI"	""	""	"ledetj"	"I'm online, call me https://t.co/b6OvsGldxI #bitwine"	"133"	"160"	"Newport Or"	"Pacific Time (US & Canada)"	"-25200"
"http://twitter.com/4446417074/status/720038788924223488"	""	"0"	"Tue Apr 12 23:59:59 +0000 2016"	"0"	"54054"	"en"	"0"	""	""	""	"Katelyn_harv"	"RT @MarcusLepage: Fuck, I slept in"	"56"	"51"	"Santa Clarita, CA"	""	""
"http://twitter.com/147692795/status/720038781483630592"	""	"0"	"Tue Apr 12 23:59:57 +0000 2016"	"0"	"3654"	"en"	"1"	"https://t.co/U98ocZPn3W"	""	""	"arabaya269"	"RT @ThirtySecFights: He told her to back up 😂 https://t.co/U98ocZPn3W"	"432"	"281"	""	"London"	"3600"
"http://twitter.com/2973213202/status/720038785103368192"	""	"0"	"Tue Apr 12 23:59:58 +0000 2016"	"0"	"24"	"en"	"1"	"https://t.co/8spZU4HMYa"	""	""	"YouPornPlus"	"RT @NewsExtravagant: Do you like this image? RT so many please... https://t.co/8spZU4HMYa"	"195097"	"194"	""	"Belgrade"	"7200"
"http://twitter.com/1452991795/status/720038783744286720"	""	"0"	"Tue Apr 12 23:59:58 +0000 2016"	"0"	"138"	"en"	"0"	""	""	""	"iamtherealLiza"	"RT @FactSoup: You will never look like the girl in the magazine. The girl in the magazine doesn't even look like the girl in the magazine."	"1092"	"937"	"U N I V E R S E"	"Arizona"	"-25200"
"http://twitter.com/1007187600/status/720038786294530048"	""	"0"	"Tue Apr 12 23:59:58 +0000 2016"	"0"	"1"	"en"	"0"	""	""	""	"Roberta1836"	"RT @dvalls1006: @SFL4Hillary that would be an extremely low thing for him to do! He wants a Revolution? He will get one from Hillary suppor…"	"432"	"112"	""	""	""
"http://twitter.com/432890006/status/720038788953714688"	""	"0"	"Tue Apr 12 23:59:59 +0000 2016"	"0"	"0"	"en"	"0"	""	""	""	"WhyNomii"	"I don't deserve education my name is a lie"	"1330"	"734"	"Port Elizabeth"	"Pretoria"	"7200"
"http://twitter.com/983724692/status/720038785719889920"	""	"0"	"Tue Apr 12 23:59:58 +0000 2016"	"0"	"12168"	"en"	"1"	"https://t.co/J3SYu8SwJ4"	""	""	"ZachDeLorey82"	"RT @CauseWereComedy: love everything about this video 😂😂 https://t.co/J3SYu8SwJ4"	"301"	"236"	"Peabody, MA"	"Atlantic Time (Canada)"	"-10800"
"http://twitter.com/555445174/status/720038785568923650"	""	"0"	"Tue Apr 12 23:59:58 +0000 2016"	"0"	"1194"	"en"	"1"	"https://t.co/86092KKEHE"	""	""	"ConnorMcColum"	"RT @CauseWereGuys: Coming down the slot hot... https://t.co/86092KKEHE"	"426"	"357"	"Maineville "	""	""
"http://twitter.com/2658807066/status/720038787405848576"	""	"0"	"Tue Apr 12 23:59:59 +0000 2016"	"0"	"127"	"en"	"1"	"https://t.co/u9zrVGDuon"	""	""	"keely_hope21"	"RT @nakedmagic: WHEN WILL HE STOP MAKING ME SUFFER AND QUIT PLAYING WITH HIS BOTTOM LIP https://t.co/u9zrVGDuon"	"1623"	"2437"	"Aussie"	""	""
"http://twitter.com/22190942/status/720038782343454721"	""	"0"	"Tue Apr 12 23:59:58 +0000 2016"	"0"	"0"	"en"	"1"	"https://t.co/duwHpqQvEf"	""	""	"Clacton_Weather"	"Wind 0.0 mph SSE Barometer 1007.18 mb Steady Temperature 8.3 C Rain today 0.0 mm Humidity 96%  #Clacton #Weather https://t.co/duwHpqQvEf"	"965"	"870"	"Clacton on Sea, Essex, UK"	"London"	"3600"
"http://twitter.com/2805726085/status/720038788320387072"	""	"0"	"Tue Apr 12 23:59:59 +0000 2016"	"0"	"144"	"en"	"1"	"https://t.co/xIwbwUgAN4"	""	""	"ChalkLinez"	"RT @SurvivingGrady: Adam Jones loses the Ortiz 500 chain as soon as Papi goes yard. #RedSox #Orioles https://t.co/xIwbwUgAN4"	"1164"	"1015"	""	""	""
"http://twitter.com/713507376675045377/status/720038789016498177"	""	"0"	"Tue Apr 12 23:59:59 +0000 2016"	"0"	"2209"	"en"	"2"	"https://t.co/QcebMwtK0u"	"https://t…"	""	"NancyCoggshall"	"RT @CarCrashesTV: Mid Air Plane Crash New York City United Airlines vs Trans World Airlines Mid Air Crash https://t.co/QcebMwtK0u https://t…"	"55"	"611"	"Cheyenne"	""	""
"http://twitter.com/17743673/status/720038787246501888"	""	"0"	"Tue Apr 12 23:59:59 +0000 2016"	"1"	"0"	"en"	"2"	"https://t.co/R7luF5dakU"	"https://t.co/dfzmCpwaUS"	""	"NaughtyReviews"	"209-497-2534 new number: #sanfrancisco https://t.co/R7luF5dakU https://t.co/dfzmCpwaUS"	"15420"	"2859"	"Toronto"	"Pacific Time (US & Canada)"	"-25200"
"http://twitter.com/3310514162/status/720038779894022145"	""	"0"	"Tue Apr 12 23:59:57 +0000 2016"	"0"	"29505"	"en"	"1"	"https://t.co/TCerW9EWtN"	""	""	"nycfcfpp"	"RT @Cristiano: Great win today! ✌🏻️⚽️ Thanks for all your support! https://t.co/TCerW9EWtN"	"135"	"312"	"Strong Island , NY "	""	""
"http://twitter.com/1149471114/status/720038782020558849"	""	"0"	"Tue Apr 12 23:59:57 +0000 2016"	"0"	"1038"	"en"	"0"	""	""	""	"AsianMeetsRice"	"RT @BigBodyBesNYC: I CAN TELL BY DA WAY YOU PLAY BASKETBALL, THAT UR FATHER WAS A SNITCH.... #FUCKTHATSDELICIOUS"	"57"	"97"	"I dont fucking know"	""	""
